Datetime,Info
2024-06-20 11:01:00,start-inf-cp-r0.1-lay[63]-ind1
2024-06-20 11:11:41,end-inf-cp-r0.1-lay[63]-ind1
2024-06-20 11:13:00,start-inf-cp-r0.1-lay[63]-ind2
2024-06-20 11:23:42,end-inf-cp-r0.1-lay[63]-ind2
2024-06-20 11:25:00,start-inf-cp-r0.1-lay[63]-ind3
2024-06-20 11:35:42,end-inf-cp-r0.1-lay[63]-ind3
2024-06-20 11:37:00,start-inf-cp-r0.2-lay[63]-ind1
2024-06-20 11:47:41,end-inf-cp-r0.2-lay[63]-ind1
2024-06-20 11:49:00,start-inf-cp-r0.2-lay[63]-ind2
2024-06-20 11:59:44,end-inf-cp-r0.2-lay[63]-ind2
2024-06-20 12:01:00,start-inf-cp-r0.2-lay[63]-ind3
2024-06-20 12:11:42,end-inf-cp-r0.2-lay[63]-ind3
2024-06-20 12:13:00,start-inf-cp-r0.3-lay[63]-ind1
2024-06-20 12:25:11,end-inf-cp-r0.3-lay[63]-ind1
2024-06-20 12:27:00,start-inf-cp-r0.3-lay[63]-ind2
2024-06-20 12:39:10,end-inf-cp-r0.3-lay[63]-ind2
2024-06-20 12:41:00,start-inf-cp-r0.3-lay[63]-ind3
2024-06-20 12:53:11,end-inf-cp-r0.3-lay[63]-ind3
2024-06-20 12:55:00,start-inf-cp-r0.4-lay[63]-ind1
2024-06-20 13:06:28,end-inf-cp-r0.4-lay[63]-ind1
2024-06-20 13:08:00,start-inf-cp-r0.4-lay[63]-ind2
2024-06-20 13:19:29,end-inf-cp-r0.4-lay[63]-ind2
2024-06-20 13:21:00,start-inf-cp-r0.4-lay[63]-ind3
2024-06-20 13:32:28,end-inf-cp-r0.4-lay[63]-ind3
2024-06-20 13:34:01,start-inf-cp-r0.5-lay[63]-ind1
2024-06-20 13:45:52,end-inf-cp-r0.5-lay[63]-ind1
2024-06-20 13:47:00,start-inf-cp-r0.5-lay[63]-ind2
2024-06-20 13:58:53,end-inf-cp-r0.5-lay[63]-ind2
2024-06-20 14:00:00,start-inf-cp-r0.5-lay[63]-ind3
2024-06-20 14:11:53,end-inf-cp-r0.5-lay[63]-ind3
2024-06-20 14:13:00,start-inf-cp-r0.6-lay[63]-ind1
2024-06-20 14:25:18,end-inf-cp-r0.6-lay[63]-ind1
2024-06-20 14:27:00,start-inf-cp-r0.6-lay[63]-ind2
2024-06-20 14:39:18,end-inf-cp-r0.6-lay[63]-ind2
2024-06-20 14:41:00,start-inf-cp-r0.6-lay[63]-ind3
2024-06-20 14:53:17,end-inf-cp-r0.6-lay[63]-ind3
2024-06-20 14:55:00,start-inf-cp-r0.7-lay[63]-ind1
2024-06-20 15:07:39,end-inf-cp-r0.7-lay[63]-ind1
2024-06-20 15:09:00,start-inf-cp-r0.7-lay[63]-ind2
2024-06-20 15:21:40,end-inf-cp-r0.7-lay[63]-ind2
2024-06-20 15:23:00,start-inf-cp-r0.7-lay[63]-ind3
2024-06-20 15:35:40,end-inf-cp-r0.7-lay[63]-ind3
2024-06-20 15:37:00,start-inf-cp-r0.8-lay[63]-ind1
2024-06-20 15:50:02,end-inf-cp-r0.8-lay[63]-ind1
2024-06-20 15:52:00,start-inf-cp-r0.8-lay[63]-ind2
2024-06-20 16:05:02,end-inf-cp-r0.8-lay[63]-ind2
2024-06-20 16:07:00,start-inf-cp-r0.8-lay[63]-ind3
2024-06-20 16:20:02,end-inf-cp-r0.8-lay[63]-ind3
2024-06-20 16:22:00,start-inf-cp-r0.9-lay[63]-ind1
2024-06-20 16:35:30,end-inf-cp-r0.9-lay[63]-ind1
2024-06-20 16:37:00,start-inf-cp-r0.9-lay[63]-ind2
2024-06-20 16:50:30,end-inf-cp-r0.9-lay[63]-ind2
2024-06-20 16:52:00,start-inf-cp-r0.9-lay[63]-ind3
2024-06-20 17:05:30,end-inf-cp-r0.9-lay[63]-ind3
2024-06-20 17:07:00,start-inf-cp-r0.1-lay[57]-ind1
2024-06-20 17:17:36,end-inf-cp-r0.1-lay[57]-ind1
2024-06-20 17:19:00,start-inf-cp-r0.1-lay[57]-ind2
2024-06-20 17:29:37,end-inf-cp-r0.1-lay[57]-ind2
2024-06-20 17:31:00,start-inf-cp-r0.1-lay[57]-ind3
2024-06-20 17:41:37,end-inf-cp-r0.1-lay[57]-ind3
2024-06-20 17:43:00,start-inf-cp-r0.2-lay[57]-ind1
2024-06-20 17:53:46,end-inf-cp-r0.2-lay[57]-ind1
2024-06-20 17:55:00,start-inf-cp-r0.2-lay[57]-ind2
2024-06-20 18:05:46,end-inf-cp-r0.2-lay[57]-ind2
2024-06-20 18:07:00,start-inf-cp-r0.2-lay[57]-ind3
2024-06-20 18:17:46,end-inf-cp-r0.2-lay[57]-ind3
2024-06-20 18:19:00,start-inf-cp-r0.3-lay[57]-ind1
2024-06-20 18:29:48,end-inf-cp-r0.3-lay[57]-ind1
2024-06-20 18:31:00,start-inf-cp-r0.3-lay[57]-ind2
2024-06-20 18:41:48,end-inf-cp-r0.3-lay[57]-ind2
2024-06-20 18:43:00,start-inf-cp-r0.3-lay[57]-ind3
2024-06-20 18:53:48,end-inf-cp-r0.3-lay[57]-ind3
2024-06-20 18:55:00,start-inf-cp-r0.4-lay[57]-ind1
2024-06-20 19:05:52,end-inf-cp-r0.4-lay[57]-ind1
2024-06-20 19:07:00,start-inf-cp-r0.4-lay[57]-ind2
2024-06-20 19:17:52,end-inf-cp-r0.4-lay[57]-ind2
2024-06-20 19:19:00,start-inf-cp-r0.4-lay[57]-ind3
2024-06-20 19:29:51,end-inf-cp-r0.4-lay[57]-ind3
2024-06-20 19:31:00,start-inf-cp-r0.5-lay[57]-ind1
2024-06-20 19:41:54,end-inf-cp-r0.5-lay[57]-ind1
2024-06-20 19:43:00,start-inf-cp-r0.5-lay[57]-ind2
2024-06-20 19:53:54,end-inf-cp-r0.5-lay[57]-ind2
2024-06-20 19:55:00,start-inf-cp-r0.5-lay[57]-ind3
2024-06-20 20:05:53,end-inf-cp-r0.5-lay[57]-ind3
2024-06-20 20:07:00,start-inf-cp-r0.6-lay[57]-ind1
2024-06-20 20:17:56,end-inf-cp-r0.6-lay[57]-ind1
2024-06-20 20:19:00,start-inf-cp-r0.6-lay[57]-ind2
2024-06-20 20:29:56,end-inf-cp-r0.6-lay[57]-ind2
2024-06-20 20:31:00,start-inf-cp-r0.6-lay[57]-ind3
2024-06-20 20:41:56,end-inf-cp-r0.6-lay[57]-ind3
2024-06-20 20:43:00,start-inf-cp-r0.7-lay[57]-ind1
2024-06-20 20:53:57,end-inf-cp-r0.7-lay[57]-ind1
2024-06-20 20:55:00,start-inf-cp-r0.7-lay[57]-ind2
2024-06-20 21:05:58,end-inf-cp-r0.7-lay[57]-ind2
2024-06-20 21:07:00,start-inf-cp-r0.7-lay[57]-ind3
2024-06-20 21:17:57,end-inf-cp-r0.7-lay[57]-ind3
2024-06-20 21:19:00,start-inf-cp-r0.8-lay[57]-ind1
2024-06-20 21:30:01,end-inf-cp-r0.8-lay[57]-ind1
2024-06-20 21:32:00,start-inf-cp-r0.8-lay[57]-ind2
2024-06-20 21:43:01,end-inf-cp-r0.8-lay[57]-ind2
2024-06-20 21:45:00,start-inf-cp-r0.8-lay[57]-ind3
2024-06-20 21:56:00,end-inf-cp-r0.8-lay[57]-ind3
2024-06-20 21:58:00,start-inf-cp-r0.9-lay[57]-ind1
2024-06-20 22:09:02,end-inf-cp-r0.9-lay[57]-ind1
2024-06-20 22:11:00,start-inf-cp-r0.9-lay[57]-ind2
2024-06-20 22:22:02,end-inf-cp-r0.9-lay[57]-ind2
2024-06-20 22:24:00,start-inf-cp-r0.9-lay[57]-ind3
2024-06-20 22:35:03,end-inf-cp-r0.9-lay[57]-ind3
2024-06-20 22:37:00,start-inf-cp-r0.1-lay[51]-ind1
2024-06-20 22:47:49,end-inf-cp-r0.1-lay[51]-ind1
2024-06-20 22:49:00,start-inf-cp-r0.1-lay[51]-ind2
2024-06-20 22:59:48,end-inf-cp-r0.1-lay[51]-ind2
2024-06-20 23:01:00,start-inf-cp-r0.1-lay[51]-ind3
2024-06-20 23:11:48,end-inf-cp-r0.1-lay[51]-ind3
2024-06-20 23:13:00,start-inf-cp-r0.2-lay[51]-ind1
2024-06-20 23:24:14,end-inf-cp-r0.2-lay[51]-ind1
2024-06-20 23:26:00,start-inf-cp-r0.2-lay[51]-ind2
2024-06-20 23:37:14,end-inf-cp-r0.2-lay[51]-ind2
2024-06-20 23:39:00,start-inf-cp-r0.2-lay[51]-ind3
2024-06-20 23:50:14,end-inf-cp-r0.2-lay[51]-ind3
2024-06-20 23:52:00,start-inf-cp-r0.3-lay[51]-ind1
2024-06-21 00:03:17,end-inf-cp-r0.3-lay[51]-ind1
2024-06-21 00:05:00,start-inf-cp-r0.3-lay[51]-ind2
2024-06-21 00:16:17,end-inf-cp-r0.3-lay[51]-ind2
2024-06-21 00:18:00,start-inf-cp-r0.3-lay[51]-ind3
2024-06-21 00:29:16,end-inf-cp-r0.3-lay[51]-ind3
2024-06-21 00:31:00,start-inf-cp-r0.4-lay[51]-ind1
2024-06-21 00:43:03,end-inf-cp-r0.4-lay[51]-ind1
2024-06-21 00:45:00,start-inf-cp-r0.4-lay[51]-ind2
2024-06-21 00:57:02,end-inf-cp-r0.4-lay[51]-ind2
2024-06-21 00:59:01,start-inf-cp-r0.4-lay[51]-ind3
2024-06-21 01:11:03,end-inf-cp-r0.4-lay[51]-ind3
2024-06-21 01:13:00,start-inf-cp-r0.5-lay[51]-ind1
2024-06-21 01:25:25,end-inf-cp-r0.5-lay[51]-ind1
2024-06-21 01:27:00,start-inf-cp-r0.5-lay[51]-ind2
2024-06-21 01:39:26,end-inf-cp-r0.5-lay[51]-ind2
2024-06-21 01:41:00,start-inf-cp-r0.5-lay[51]-ind3
2024-06-21 01:53:26,end-inf-cp-r0.5-lay[51]-ind3
2024-06-21 01:55:00,start-inf-cp-r0.6-lay[51]-ind1
2024-06-21 02:06:24,end-inf-cp-r0.6-lay[51]-ind1
2024-06-21 02:08:00,start-inf-cp-r0.6-lay[51]-ind2
2024-06-21 02:19:23,end-inf-cp-r0.6-lay[51]-ind2
2024-06-21 02:21:00,start-inf-cp-r0.6-lay[51]-ind3
2024-06-21 02:32:23,end-inf-cp-r0.6-lay[51]-ind3
2024-06-21 02:34:00,start-inf-cp-r0.7-lay[51]-ind1
2024-06-21 02:45:35,end-inf-cp-r0.7-lay[51]-ind1
2024-06-21 02:47:00,start-inf-cp-r0.7-lay[51]-ind2
2024-06-21 02:58:36,end-inf-cp-r0.7-lay[51]-ind2
2024-06-21 03:00:00,start-inf-cp-r0.7-lay[51]-ind3
2024-06-21 03:11:36,end-inf-cp-r0.7-lay[51]-ind3
2024-06-21 03:13:00,start-inf-cp-r0.8-lay[51]-ind1
2024-06-21 03:24:47,end-inf-cp-r0.8-lay[51]-ind1
2024-06-21 03:26:00,start-inf-cp-r0.8-lay[51]-ind2
2024-06-21 03:37:46,end-inf-cp-r0.8-lay[51]-ind2
2024-06-21 03:39:00,start-inf-cp-r0.8-lay[51]-ind3
2024-06-21 03:50:46,end-inf-cp-r0.8-lay[51]-ind3
2024-06-21 03:52:00,start-inf-cp-r0.9-lay[51]-ind1
2024-06-21 04:03:55,end-inf-cp-r0.9-lay[51]-ind1
2024-06-21 04:05:00,start-inf-cp-r0.9-lay[51]-ind2
2024-06-21 04:16:56,end-inf-cp-r0.9-lay[51]-ind2
2024-06-21 04:18:00,start-inf-cp-r0.9-lay[51]-ind3
2024-06-21 04:29:56,end-inf-cp-r0.9-lay[51]-ind3
2024-06-21 04:31:00,start-inf-cp-r0.1-lay[47]-ind1
2024-06-21 04:41:29,end-inf-cp-r0.1-lay[47]-ind1
2024-06-21 04:43:00,start-inf-cp-r0.1-lay[47]-ind2
2024-06-21 04:53:28,end-inf-cp-r0.1-lay[47]-ind2
2024-06-21 04:55:00,start-inf-cp-r0.1-lay[47]-ind3
2024-06-21 05:05:28,end-inf-cp-r0.1-lay[47]-ind3
2024-06-21 05:07:00,start-inf-cp-r0.2-lay[47]-ind1
2024-06-21 05:17:51,end-inf-cp-r0.2-lay[47]-ind1
2024-06-21 05:19:00,start-inf-cp-r0.2-lay[47]-ind2
2024-06-21 05:29:51,end-inf-cp-r0.2-lay[47]-ind2
2024-06-21 05:31:00,start-inf-cp-r0.2-lay[47]-ind3
2024-06-21 05:41:51,end-inf-cp-r0.2-lay[47]-ind3
2024-06-21 05:43:00,start-inf-cp-r0.3-lay[47]-ind1
2024-06-21 05:54:06,end-inf-cp-r0.3-lay[47]-ind1
2024-06-21 05:56:00,start-inf-cp-r0.3-lay[47]-ind2
2024-06-21 06:07:06,end-inf-cp-r0.3-lay[47]-ind2
2024-06-21 06:09:00,start-inf-cp-r0.3-lay[47]-ind3
2024-06-21 06:20:05,end-inf-cp-r0.3-lay[47]-ind3
2024-06-21 06:22:00,start-inf-cp-r0.4-lay[47]-ind1
2024-06-21 06:33:01,end-inf-cp-r0.4-lay[47]-ind1
2024-06-21 06:35:00,start-inf-cp-r0.4-lay[47]-ind2
2024-06-21 06:46:00,end-inf-cp-r0.4-lay[47]-ind2
2024-06-21 06:48:01,start-inf-cp-r0.4-lay[47]-ind3
2024-06-21 06:59:01,end-inf-cp-r0.4-lay[47]-ind3
2024-06-21 07:01:00,start-inf-cp-r0.5-lay[47]-ind1
2024-06-21 07:12:38,end-inf-cp-r0.5-lay[47]-ind1
2024-06-21 07:14:00,start-inf-cp-r0.5-lay[47]-ind2
2024-06-21 07:25:39,end-inf-cp-r0.5-lay[47]-ind2
2024-06-21 07:27:00,start-inf-cp-r0.5-lay[47]-ind3
2024-06-21 07:38:38,end-inf-cp-r0.5-lay[47]-ind3
2024-06-21 07:40:00,start-inf-cp-r0.6-lay[47]-ind1
2024-06-21 07:51:54,end-inf-cp-r0.6-lay[47]-ind1
2024-06-21 07:53:00,start-inf-cp-r0.6-lay[47]-ind2
2024-06-21 08:04:55,end-inf-cp-r0.6-lay[47]-ind2
2024-06-21 08:06:00,start-inf-cp-r0.6-lay[47]-ind3
2024-06-21 08:17:54,end-inf-cp-r0.6-lay[47]-ind3
2024-06-21 08:19:00,start-inf-cp-r0.7-lay[47]-ind1
2024-06-21 08:31:09,end-inf-cp-r0.7-lay[47]-ind1
2024-06-21 08:33:00,start-inf-cp-r0.7-lay[47]-ind2
2024-06-21 08:45:08,end-inf-cp-r0.7-lay[47]-ind2
2024-06-21 08:47:00,start-inf-cp-r0.7-lay[47]-ind3
2024-06-21 08:59:08,end-inf-cp-r0.7-lay[47]-ind3
2024-06-21 09:01:00,start-inf-cp-r0.8-lay[47]-ind1
2024-06-21 09:12:46,end-inf-cp-r0.8-lay[47]-ind1
2024-06-21 09:14:00,start-inf-cp-r0.8-lay[47]-ind2
2024-06-21 09:25:46,end-inf-cp-r0.8-lay[47]-ind2
2024-06-21 09:27:00,start-inf-cp-r0.8-lay[47]-ind3
2024-06-21 09:38:46,end-inf-cp-r0.8-lay[47]-ind3
2024-06-21 09:40:00,start-inf-cp-r0.9-lay[47]-ind1
2024-06-21 09:51:59,end-inf-cp-r0.9-lay[47]-ind1
2024-06-21 09:53:00,start-inf-cp-r0.9-lay[47]-ind2
2024-06-21 10:04:59,end-inf-cp-r0.9-lay[47]-ind2
2024-06-21 10:06:00,start-inf-cp-r0.9-lay[47]-ind3
2024-06-21 10:17:58,end-inf-cp-r0.9-lay[47]-ind3
2024-06-21 10:19:00,start-inf-cp-r0.1-lay[41]-ind1
2024-06-21 10:29:24,end-inf-cp-r0.1-lay[41]-ind1
2024-06-21 10:31:00,start-inf-cp-r0.1-lay[41]-ind2
2024-06-21 10:41:23,end-inf-cp-r0.1-lay[41]-ind2
2024-06-21 10:43:00,start-inf-cp-r0.1-lay[41]-ind3
2024-06-21 10:53:23,end-inf-cp-r0.1-lay[41]-ind3
2024-06-21 10:55:00,start-inf-cp-r0.2-lay[41]-ind1
2024-06-21 11:05:23,end-inf-cp-r0.2-lay[41]-ind1
2024-06-21 11:07:00,start-inf-cp-r0.2-lay[41]-ind2
2024-06-21 11:17:23,end-inf-cp-r0.2-lay[41]-ind2
2024-06-21 11:19:00,start-inf-cp-r0.2-lay[41]-ind3
2024-06-21 11:29:24,end-inf-cp-r0.2-lay[41]-ind3
2024-06-21 11:31:00,start-inf-cp-r0.3-lay[41]-ind1
2024-06-21 11:41:34,end-inf-cp-r0.3-lay[41]-ind1
2024-06-21 11:43:00,start-inf-cp-r0.3-lay[41]-ind2
2024-06-21 11:53:35,end-inf-cp-r0.3-lay[41]-ind2
2024-06-21 11:55:00,start-inf-cp-r0.3-lay[41]-ind3
2024-06-21 12:05:35,end-inf-cp-r0.3-lay[41]-ind3
2024-06-21 12:07:01,start-inf-cp-r0.4-lay[41]-ind1
2024-06-21 12:17:36,end-inf-cp-r0.4-lay[41]-ind1
2024-06-21 12:19:00,start-inf-cp-r0.4-lay[41]-ind2
2024-06-21 12:29:37,end-inf-cp-r0.4-lay[41]-ind2
2024-06-21 12:31:00,start-inf-cp-r0.4-lay[41]-ind3
2024-06-21 12:41:36,end-inf-cp-r0.4-lay[41]-ind3
2024-06-21 12:43:00,start-inf-cp-r0.5-lay[41]-ind1
2024-06-21 12:53:37,end-inf-cp-r0.5-lay[41]-ind1
2024-06-21 12:55:00,start-inf-cp-r0.5-lay[41]-ind2
2024-06-21 13:05:37,end-inf-cp-r0.5-lay[41]-ind2
2024-06-21 13:07:00,start-inf-cp-r0.5-lay[41]-ind3
2024-06-21 13:17:37,end-inf-cp-r0.5-lay[41]-ind3
2024-06-21 13:19:00,start-inf-cp-r0.6-lay[41]-ind1
2024-06-21 13:29:38,end-inf-cp-r0.6-lay[41]-ind1
2024-06-21 13:31:00,start-inf-cp-r0.6-lay[41]-ind2
2024-06-21 13:41:38,end-inf-cp-r0.6-lay[41]-ind2
2024-06-21 13:43:00,start-inf-cp-r0.6-lay[41]-ind3
2024-06-21 13:53:38,end-inf-cp-r0.6-lay[41]-ind3
2024-06-21 13:55:00,start-inf-cp-r0.7-lay[41]-ind1
2024-06-21 14:05:28,end-inf-cp-r0.7-lay[41]-ind1
2024-06-21 14:07:00,start-inf-cp-r0.7-lay[41]-ind2
2024-06-21 14:17:29,end-inf-cp-r0.7-lay[41]-ind2
2024-06-21 14:19:00,start-inf-cp-r0.7-lay[41]-ind3
2024-06-21 14:29:29,end-inf-cp-r0.7-lay[41]-ind3
2024-06-21 14:31:00,start-inf-cp-r0.8-lay[41]-ind1
2024-06-21 14:41:30,end-inf-cp-r0.8-lay[41]-ind1
2024-06-21 14:43:00,start-inf-cp-r0.8-lay[41]-ind2
2024-06-21 14:53:30,end-inf-cp-r0.8-lay[41]-ind2
2024-06-21 14:55:00,start-inf-cp-r0.8-lay[41]-ind3
2024-06-21 15:05:31,end-inf-cp-r0.8-lay[41]-ind3
2024-06-21 15:07:00,start-inf-cp-r0.9-lay[41]-ind1
2024-06-21 15:17:31,end-inf-cp-r0.9-lay[41]-ind1
2024-06-21 15:19:00,start-inf-cp-r0.9-lay[41]-ind2
2024-06-21 15:29:30,end-inf-cp-r0.9-lay[41]-ind2
2024-06-21 15:31:00,start-inf-cp-r0.9-lay[41]-ind3
2024-06-21 15:41:30,end-inf-cp-r0.9-lay[41]-ind3
2024-06-21 15:43:00,start-inf-cp-r0.1-lay[35]-ind1
2024-06-21 15:53:20,end-inf-cp-r0.1-lay[35]-ind1
2024-06-21 15:55:00,start-inf-cp-r0.1-lay[35]-ind2
2024-06-21 16:05:19,end-inf-cp-r0.1-lay[35]-ind2
2024-06-21 16:07:00,start-inf-cp-r0.1-lay[35]-ind3
2024-06-21 16:17:19,end-inf-cp-r0.1-lay[35]-ind3
2024-06-21 16:19:00,start-inf-cp-r0.2-lay[35]-ind1
2024-06-21 16:29:44,end-inf-cp-r0.2-lay[35]-ind1
2024-06-21 16:31:00,start-inf-cp-r0.2-lay[35]-ind2
2024-06-21 16:41:44,end-inf-cp-r0.2-lay[35]-ind2
2024-06-21 16:43:00,start-inf-cp-r0.2-lay[35]-ind3
