Datetime,Info
2024-06-22 21:05:01,dec-start-outch512-inch448-facttucker-r0.1-wh2-ind1s
2024-06-22 21:10:43,dec-end-outch512-inch448-facttucker-r0.1-wh2-ind1s
2024-06-22 21:12:00,dec-start-outch512-inch448-facttucker-r0.1-wh2-ind2s
2024-06-22 21:17:44,dec-end-outch512-inch448-facttucker-r0.1-wh2-ind2s
2024-06-22 21:19:00,dec-start-outch512-inch448-facttucker-r0.1-wh2-ind3s
2024-06-22 21:24:43,dec-end-outch512-inch448-facttucker-r0.1-wh2-ind3s
2024-06-22 21:26:00,dec-start-outch512-inch448-facttucker-r0.25-wh2-ind1s
2024-06-22 21:35:07,dec-end-outch512-inch448-facttucker-r0.25-wh2-ind1s
2024-06-22 21:37:00,dec-start-outch512-inch448-facttucker-r0.25-wh2-ind2s
2024-06-22 21:46:05,dec-end-outch512-inch448-facttucker-r0.25-wh2-ind2s
2024-06-22 21:48:00,dec-start-outch512-inch448-facttucker-r0.25-wh2-ind3s
2024-06-22 21:57:06,dec-end-outch512-inch448-facttucker-r0.25-wh2-ind3s
2024-06-22 21:59:00,dec-start-outch512-inch448-facttucker-r0.5-wh2-ind1s
2024-06-22 22:12:18,dec-end-outch512-inch448-facttucker-r0.5-wh2-ind1s
2024-06-22 22:14:00,dec-start-outch512-inch448-facttucker-r0.5-wh2-ind2s
2024-06-22 22:27:18,dec-end-outch512-inch448-facttucker-r0.5-wh2-ind2s
2024-06-22 22:29:00,dec-start-outch512-inch448-facttucker-r0.5-wh2-ind3s
2024-06-22 22:42:20,dec-end-outch512-inch448-facttucker-r0.5-wh2-ind3s
2024-06-22 22:44:00,dec-start-outch512-inch448-facttucker-r0.75-wh2-ind1s
2024-06-22 23:00:09,dec-end-outch512-inch448-facttucker-r0.75-wh2-ind1s
2024-06-22 23:02:00,dec-start-outch512-inch448-facttucker-r0.75-wh2-ind2s
2024-06-22 23:18:10,dec-end-outch512-inch448-facttucker-r0.75-wh2-ind2s
2024-06-22 23:20:00,dec-start-outch512-inch448-facttucker-r0.75-wh2-ind3s
2024-06-22 23:36:08,dec-end-outch512-inch448-facttucker-r0.75-wh2-ind3s
2024-06-22 23:38:00,dec-start-outch512-inch448-facttucker-r0.9-wh2-ind1s
2024-06-22 23:56:50,dec-end-outch512-inch448-facttucker-r0.9-wh2-ind1s
2024-06-22 23:58:00,dec-start-outch512-inch448-facttucker-r0.9-wh2-ind2s
2024-06-23 00:16:51,dec-end-outch512-inch448-facttucker-r0.9-wh2-ind2s
2024-06-23 00:18:00,dec-start-outch512-inch448-facttucker-r0.9-wh2-ind3s
2024-06-23 00:36:52,dec-end-outch512-inch448-facttucker-r0.9-wh2-ind3s
2024-06-23 00:38:00,dec-start-outch512-inch448-facttt-r0.1-wh2-ind1s
2024-06-23 00:42:56,dec-end-outch512-inch448-facttt-r0.1-wh2-ind1s
2024-06-23 00:44:00,dec-start-outch512-inch448-facttt-r0.1-wh2-ind2s
2024-06-23 00:48:57,dec-end-outch512-inch448-facttt-r0.1-wh2-ind2s
2024-06-23 00:50:00,dec-start-outch512-inch448-facttt-r0.1-wh2-ind3s
2024-06-23 00:54:56,dec-end-outch512-inch448-facttt-r0.1-wh2-ind3s
2024-06-23 00:56:00,dec-start-outch512-inch448-facttt-r0.25-wh2-ind1s
2024-06-23 00:58:47,dec-end-outch512-inch448-facttt-r0.25-wh2-ind1s
