Datetime,Info
2024-06-01 16:05:00,bas-start-outch512-inch448-wh2-ind1s
2024-06-01 16:19:17,bas-end-outch512-inch448-wh2-ind1s
2024-06-01 16:21:00,bas-start-outch512-inch448-wh2-ind2s
2024-06-01 16:35:19,bas-end-outch512-inch448-wh2-ind2s
2024-06-01 16:37:00,bas-start-outch512-inch448-wh4-ind1s
2024-06-01 17:05:10,bas-end-outch512-inch448-wh4-ind1s
2024-06-01 17:07:00,bas-start-outch512-inch448-wh4-ind2s
2024-06-01 17:35:09,bas-end-outch512-inch448-wh4-ind2s
2024-06-01 18:51:00,bas-start-outch512-inch448-wh6-ind1s
2024-06-01 19:35:41,bas-end-outch512-inch448-wh6-ind1s
2024-06-01 19:37:00,bas-start-outch512-inch448-wh6-ind2s
2024-06-01 20:21:38,bas-end-outch512-inch448-wh6-ind2s
2024-06-01 20:23:00,bas-start-outch512-inch448-wh8-ind1s
2024-06-01 21:42:30,bas-end-outch512-inch448-wh8-ind1s
2024-06-01 21:44:00,bas-start-outch512-inch448-wh8-ind2s
2024-06-01 23:03:08,bas-end-outch512-inch448-wh8-ind2s
2024-06-01 23:05:00,dec-start-outch512-inch448-facttt-r0.1-wh2-ind1s
2024-06-01 23:07:51,dec-end-outch512-inch448-facttt-r0.1-wh2-ind1s
2024-06-01 23:09:00,dec-start-outch512-inch448-facttt-r0.1-wh2-ind2s
2024-06-01 23:11:51,dec-end-outch512-inch448-facttt-r0.1-wh2-ind2s
2024-06-01 23:13:00,dec-start-outch512-inch448-facttt-r0.25-wh2-ind1s
2024-06-01 23:17:39,dec-end-outch512-inch448-facttt-r0.25-wh2-ind1s
2024-06-01 23:19:00,dec-start-outch512-inch448-facttt-r0.25-wh2-ind2s
2024-06-01 23:23:39,dec-end-outch512-inch448-facttt-r0.25-wh2-ind2s
2024-06-01 23:25:00,dec-start-outch512-inch448-facttt-r0.5-wh2-ind1s
2024-06-01 23:29:50,dec-end-outch512-inch448-facttt-r0.5-wh2-ind1s
2024-06-01 23:31:00,dec-start-outch512-inch448-facttt-r0.5-wh2-ind2s
2024-06-01 23:35:49,dec-end-outch512-inch448-facttt-r0.5-wh2-ind2s
2024-06-01 23:37:00,dec-start-outch512-inch448-facttt-r0.75-wh2-ind1s
2024-06-01 23:42:02,dec-end-outch512-inch448-facttt-r0.75-wh2-ind1s
2024-06-01 23:44:00,dec-start-outch512-inch448-facttt-r0.75-wh2-ind2s
2024-06-01 23:49:04,dec-end-outch512-inch448-facttt-r0.75-wh2-ind2s
2024-06-01 23:51:00,dec-start-outch512-inch448-facttt-r0.9-wh2-ind1s
2024-06-01 23:56:06,dec-end-outch512-inch448-facttt-r0.9-wh2-ind1s
2024-06-01 23:58:00,dec-start-outch512-inch448-facttt-r0.9-wh2-ind2s
2024-06-02 00:03:08,dec-end-outch512-inch448-facttt-r0.9-wh2-ind2s
2024-06-02 00:05:00,dec-start-outch512-inch448-facttt-r0.1-wh4-ind1s
2024-06-02 00:12:31,dec-end-outch512-inch448-facttt-r0.1-wh4-ind1s
2024-06-02 00:14:00,dec-start-outch512-inch448-facttt-r0.1-wh4-ind2s
2024-06-02 00:21:26,dec-end-outch512-inch448-facttt-r0.1-wh4-ind2s
2024-06-02 00:23:00,dec-start-outch512-inch448-facttt-r0.25-wh4-ind1s
2024-06-02 00:36:32,dec-end-outch512-inch448-facttt-r0.25-wh4-ind1s
