Datetime,Info
2024-06-26 10:51:16,bas-start-outch512-inch192-wh4-ind1s
2024-06-26 10:54:44,bas-end-outch512-inch192-wh4-ind1s
2024-06-26 10:54:44,bas-start-outch512-inch192-wh4-ind2s
2024-06-26 10:58:17,bas-end-outch512-inch192-wh4-ind2s
2024-06-26 10:58:18,dec-start-outch512-inch192-facttt-r0.1-wh4-ind1s
2024-06-26 10:58:59,bas-start-outch512-inch192-wh4-ind1s
2024-06-26 11:02:39,bas-end-outch512-inch192-wh4-ind1s
2024-06-26 11:02:39,bas-start-outch512-inch192-wh4-ind2s
2024-06-26 11:03:22,bas-start-outch512-inch384-wh4-ind1s
2024-06-26 11:07:26,dec-start-outch512-inch192-facttt-r0.1-wh4-ind1s
2024-06-26 11:14:00,dec-start-outch512-inch192-facttucker-r0.1-wh4-ind1s
2024-06-26 11:21:00,dec-start-outch512-inch192-facttucker-r0.1-wh4-ind1s
2024-06-26 11:27:48,dec-end-outch512-inch192-facttucker-r0.1-wh4-ind1s
2024-06-26 11:29:00,dec-start-outch512-inch192-facttucker-r0.1-wh4-ind2s
2024-06-26 11:35:47,dec-end-outch512-inch192-facttucker-r0.1-wh4-ind2s
2024-06-26 11:37:00,dec-start-outch512-inch192-facttucker-r0.25-wh4-ind1s
2024-06-26 11:47:04,dec-end-outch512-inch192-facttucker-r0.25-wh4-ind1s
2024-06-26 11:49:00,dec-start-outch512-inch192-facttucker-r0.25-wh4-ind2s
2024-06-26 11:59:02,dec-end-outch512-inch192-facttucker-r0.25-wh4-ind2s
2024-06-26 12:01:00,dec-start-outch512-inch192-facttucker-r0.5-wh4-ind1s
2024-06-26 12:15:11,dec-end-outch512-inch192-facttucker-r0.5-wh4-ind1s
2024-06-26 12:17:00,dec-start-outch512-inch192-facttucker-r0.5-wh4-ind2s
2024-06-26 12:31:11,dec-end-outch512-inch192-facttucker-r0.5-wh4-ind2s
2024-06-26 12:33:00,dec-start-outch512-inch192-facttucker-r0.75-wh4-ind1s
2024-06-26 12:50:08,dec-end-outch512-inch192-facttucker-r0.75-wh4-ind1s
2024-06-26 12:52:00,dec-start-outch512-inch192-facttucker-r0.75-wh4-ind2s
2024-06-26 13:09:07,dec-end-outch512-inch192-facttucker-r0.75-wh4-ind2s
2024-06-26 13:11:00,dec-start-outch512-inch192-facttucker-r0.9-wh4-ind1s
2024-06-26 13:29:52,dec-end-outch512-inch192-facttucker-r0.9-wh4-ind1s
2024-06-26 13:31:00,dec-start-outch512-inch192-facttucker-r0.9-wh4-ind2s
2024-06-26 13:49:52,dec-end-outch512-inch192-facttucker-r0.9-wh4-ind2s
2024-06-26 13:51:00,dec-start-outch512-inch192-facttt-r0.1-wh4-ind1s
2024-06-26 13:56:04,dec-end-outch512-inch192-facttt-r0.1-wh4-ind1s
