Datetime,Info
2024-06-03 11:36:00,dec-start-outch512-inch384-factcp-r0.1-wh4-ind1s
2024-06-03 11:42:53,dec-end-outch512-inch384-factcp-r0.1-wh4-ind1s
2024-06-03 11:46:00,dec-start-outch512-inch384-factcp-r0.1-wh4-ind2s
2024-06-03 11:52:54,dec-end-outch512-inch384-factcp-r0.1-wh4-ind2s
2024-06-03 12:00:00,dec-start-outch512-inch384-factcp-r0.1-wh4-ind1s
2024-06-03 12:06:55,dec-end-outch512-inch384-factcp-r0.1-wh4-ind1s
2024-06-03 12:10:00,dec-start-outch512-inch384-factcp-r0.1-wh4-ind2s
2024-06-03 12:16:56,dec-end-outch512-inch384-factcp-r0.1-wh4-ind2s
2024-06-03 12:21:00,dec-start-outch512-inch384-factcp-r0.25-wh4-ind1s
2024-06-03 12:36:51,dec-end-outch512-inch384-factcp-r0.25-wh4-ind1s
2024-06-03 12:41:00,dec-start-outch512-inch384-factcp-r0.25-wh4-ind2s
2024-06-03 12:56:43,dec-end-outch512-inch384-factcp-r0.25-wh4-ind2s
2024-06-03 13:04:00,dec-start-outch512-inch384-factcp-r0.5-wh4-ind1s
2024-06-03 13:35:32,dec-end-outch512-inch384-factcp-r0.5-wh4-ind1s
2024-06-03 13:43:00,dec-start-outch512-inch384-factcp-r0.5-wh4-ind2s
2024-06-03 14:14:34,dec-end-outch512-inch384-factcp-r0.5-wh4-ind2s
2024-06-03 14:26:00,dec-start-outch512-inch384-factcp-r0.75-wh4-ind1s
2024-06-03 15:12:22,dec-end-outch512-inch384-factcp-r0.75-wh4-ind1s
2024-06-03 15:23:00,dec-start-outch512-inch384-factcp-r0.75-wh4-ind2s
2024-06-03 16:08:32,dec-end-outch512-inch384-factcp-r0.75-wh4-ind2s
2024-06-03 16:21:00,dec-start-outch512-inch384-factcp-r0.9-wh4-ind1s
2024-06-03 17:15:48,dec-end-outch512-inch384-factcp-r0.9-wh4-ind1s
2024-06-03 17:28:00,dec-start-outch512-inch384-factcp-r0.9-wh4-ind2s
2024-06-03 18:23:19,dec-end-outch512-inch384-factcp-r0.9-wh4-ind2s
2024-06-03 18:26:00,dec-start-outch512-inch320-factcp-r0.1-wh4-ind1s
2024-06-03 18:32:00,dec-end-outch512-inch320-factcp-r0.1-wh4-ind1s
2024-06-03 18:34:00,dec-start-outch512-inch320-factcp-r0.1-wh4-ind2s
2024-06-03 18:40:05,dec-end-outch512-inch320-factcp-r0.1-wh4-ind2s
2024-06-03 18:43:00,dec-start-outch512-inch320-factcp-r0.25-wh4-ind1s
2024-06-03 18:55:39,dec-end-outch512-inch320-factcp-r0.25-wh4-ind1s
2024-06-03 18:59:00,dec-start-outch512-inch320-factcp-r0.25-wh4-ind2s
2024-06-03 19:11:35,dec-end-outch512-inch320-factcp-r0.25-wh4-ind2s
2024-06-03 19:17:00,dec-start-outch512-inch320-factcp-r0.5-wh4-ind1s
2024-06-03 19:42:04,dec-end-outch512-inch320-factcp-r0.5-wh4-ind1s
2024-06-03 19:47:00,dec-start-outch512-inch320-factcp-r0.5-wh4-ind2s
2024-06-03 20:12:01,dec-end-outch512-inch320-factcp-r0.5-wh4-ind2s
2024-06-05 09:35:00,dec-start-outch512-inch256-factcp-r0.1-wh4-ind1s
2024-06-05 09:39:58,dec-end-outch512-inch256-factcp-r0.1-wh4-ind1s
2024-06-05 09:42:00,dec-start-outch512-inch256-factcp-r0.1-wh4-ind2s
2024-06-05 09:46:57,dec-end-outch512-inch256-factcp-r0.1-wh4-ind2s
2024-06-05 09:50:00,dec-start-outch512-inch256-factcp-r0.25-wh4-ind1s
