Datetime,Info
2024-06-28 03:22:00,dec-start-outch512-inch384-facttucker-r0.1-wh4-kern1-ind1s
2024-06-28 03:26:39,dec-end-outch512-inch384-facttucker-r0.1-wh4-kern1-ind1s
2024-06-28 03:28:00,dec-start-outch512-inch384-facttucker-r0.1-wh4-kern1-ind2s
2024-06-28 03:32:40,dec-end-outch512-inch384-facttucker-r0.1-wh4-kern1-ind2s
2024-06-28 03:34:00,dec-start-outch512-inch384-facttucker-r0.25-wh4-kern1-ind1s
2024-06-28 03:40:13,dec-end-outch512-inch384-facttucker-r0.25-wh4-kern1-ind1s
2024-06-28 03:42:00,dec-start-outch512-inch384-facttucker-r0.25-wh4-kern1-ind2s
2024-06-28 03:48:13,dec-end-outch512-inch384-facttucker-r0.25-wh4-kern1-ind2s
2024-06-28 03:50:00,dec-start-outch512-inch384-facttucker-r0.5-wh4-kern1-ind1s
2024-06-28 03:58:30,dec-end-outch512-inch384-facttucker-r0.5-wh4-kern1-ind1s
2024-06-28 04:00:00,dec-start-outch512-inch384-facttucker-r0.5-wh4-kern1-ind2s
2024-06-28 04:08:31,dec-end-outch512-inch384-facttucker-r0.5-wh4-kern1-ind2s
2024-06-28 04:10:00,dec-start-outch512-inch384-facttucker-r0.75-wh4-kern1-ind1s
2024-06-28 04:20:19,dec-end-outch512-inch384-facttucker-r0.75-wh4-kern1-ind1s
2024-06-28 04:22:00,dec-start-outch512-inch384-facttucker-r0.75-wh4-kern1-ind2s
2024-06-28 04:32:21,dec-end-outch512-inch384-facttucker-r0.75-wh4-kern1-ind2s
2024-06-28 04:34:00,dec-start-outch512-inch384-facttucker-r0.9-wh4-kern1-ind1s
2024-06-28 04:45:43,dec-end-outch512-inch384-facttucker-r0.9-wh4-kern1-ind1s
2024-06-28 04:47:00,dec-start-outch512-inch384-facttucker-r0.9-wh4-kern1-ind2s
2024-06-28 04:58:43,dec-end-outch512-inch384-facttucker-r0.9-wh4-kern1-ind2s
2024-06-28 05:00:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind1s
2024-06-28 05:04:26,dec-end-outch512-inch384-facttt-r0.1-wh4-kern1-ind1s
2024-06-28 05:06:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind2s
2024-06-28 05:10:26,dec-end-outch512-inch384-facttt-r0.1-wh4-kern1-ind2s
2024-06-28 05:12:00,dec-start-outch512-inch384-facttt-r0.25-wh4-kern1-ind1s
2024-06-28 05:16:25,dec-end-outch512-inch384-facttt-r0.25-wh4-kern1-ind1s
2024-06-28 05:18:00,dec-start-outch512-inch384-facttt-r0.25-wh4-kern1-ind2s
2024-06-28 05:22:25,dec-end-outch512-inch384-facttt-r0.25-wh4-kern1-ind2s
2024-06-28 05:24:00,dec-start-outch512-inch384-facttt-r0.5-wh4-kern1-ind1s
2024-06-28 05:29:06,dec-end-outch512-inch384-facttt-r0.5-wh4-kern1-ind1s
2024-06-28 05:31:00,dec-start-outch512-inch384-facttt-r0.5-wh4-kern1-ind2s
2024-06-28 05:36:07,dec-end-outch512-inch384-facttt-r0.5-wh4-kern1-ind2s
2024-06-28 05:38:00,dec-start-outch512-inch384-facttt-r0.75-wh4-kern1-ind1s
2024-06-28 05:44:11,dec-end-outch512-inch384-facttt-r0.75-wh4-kern1-ind1s
2024-06-28 05:46:00,dec-start-outch512-inch384-facttt-r0.75-wh4-kern1-ind2s
2024-06-28 05:52:10,dec-end-outch512-inch384-facttt-r0.75-wh4-kern1-ind2s
2024-06-28 05:54:00,dec-start-outch512-inch384-facttt-r0.9-wh4-kern1-ind1s
2024-06-28 06:00:48,dec-end-outch512-inch384-facttt-r0.9-wh4-kern1-ind1s
2024-06-28 06:02:00,dec-start-outch512-inch384-facttt-r0.9-wh4-kern1-ind2s
2024-06-28 06:08:47,dec-end-outch512-inch384-facttt-r0.9-wh4-kern1-ind2s
2024-06-28 06:10:00,bas-start-outch512-inch384-wh4-kern1-ind1s
2024-06-28 06:11:54,bas-end-outch512-inch384-wh4-kern1-ind1s
