Datetime,Info
2024-06-02 16:38:06,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind0s
2024-06-02 16:40:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind0s
2024-06-02 16:43:42,dec-end-outch512-inch384-facttt-r0.1-wh4-kernel1-ind0s
2024-06-02 16:45:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind1s
2024-06-02 16:48:40,dec-end-outch512-inch384-facttt-r0.1-wh4-kernel1-ind1s
2024-06-02 16:50:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern1-ind2s
2024-06-02 16:53:44,dec-end-outch512-inch384-facttt-r0.1-wh4-kernel1-ind2s
2024-06-02 16:55:00,dec-start-outch512-inch384-facttt-r0.25-wh4-kern1-ind0s
2024-06-02 16:59:03,dec-end-outch512-inch384-facttt-r0.25-wh4-kernel1-ind0s
2024-06-02 17:01:00,dec-start-outch512-inch384-facttt-r0.25-wh4-kern1-ind1s
2024-06-02 17:05:04,dec-end-outch512-inch384-facttt-r0.25-wh4-kernel1-ind1s
2024-06-02 17:07:00,dec-start-outch512-inch384-facttt-r0.25-wh4-kern1-ind2s
2024-06-02 17:11:02,dec-end-outch512-inch384-facttt-r0.25-wh4-kernel1-ind2s
2024-06-02 17:13:00,dec-start-outch512-inch384-facttt-r0.5-wh4-kern1-ind0s
2024-06-02 17:17:54,dec-end-outch512-inch384-facttt-r0.5-wh4-kernel1-ind0s
2024-06-02 17:19:00,dec-start-outch512-inch384-facttt-r0.5-wh4-kern1-ind1s
2024-06-02 17:23:51,dec-end-outch512-inch384-facttt-r0.5-wh4-kernel1-ind1s
2024-06-02 17:25:00,dec-start-outch512-inch384-facttt-r0.5-wh4-kern1-ind2s
2024-06-02 17:29:50,dec-end-outch512-inch384-facttt-r0.5-wh4-kernel1-ind2s
2024-06-02 17:31:00,dec-start-outch512-inch384-facttt-r0.75-wh4-kern1-ind0s
2024-06-02 17:36:42,dec-end-outch512-inch384-facttt-r0.75-wh4-kernel1-ind0s
2024-06-02 17:38:00,dec-start-outch512-inch384-facttt-r0.75-wh4-kern1-ind1s
2024-06-02 17:43:41,dec-end-outch512-inch384-facttt-r0.75-wh4-kernel1-ind1s
2024-06-02 17:45:00,dec-start-outch512-inch384-facttt-r0.75-wh4-kern1-ind2s
2024-06-02 17:50:39,dec-end-outch512-inch384-facttt-r0.75-wh4-kernel1-ind2s
2024-06-02 17:52:00,dec-start-outch512-inch384-facttt-r0.9-wh4-kern1-ind0s
2024-06-02 17:58:11,dec-end-outch512-inch384-facttt-r0.9-wh4-kernel1-ind0s
2024-06-02 18:00:01,dec-start-outch512-inch384-facttt-r0.9-wh4-kern1-ind1s
2024-06-02 18:06:13,dec-end-outch512-inch384-facttt-r0.9-wh4-kernel1-ind1s
2024-06-02 18:08:00,dec-start-outch512-inch384-facttt-r0.9-wh4-kern1-ind2s
2024-06-02 18:14:06,dec-end-outch512-inch384-facttt-r0.9-wh4-kernel1-ind2s
2024-06-02 18:16:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern3-ind0s
2024-06-02 18:21:46,dec-end-outch512-inch384-facttt-r0.1-wh4-kernel3-ind0s
2024-06-02 18:23:00,dec-start-outch512-inch384-facttt-r0.1-wh4-kern3-ind1s
