Datetime,Info
2024-06-25 12:17:00,dec-start-outch192-inch192-facttucker-r0.1-wh4-ind1s
2024-06-25 12:21:49,dec-end-outch192-inch192-facttucker-r0.1-wh4-ind1s
2024-06-25 12:23:00,dec-start-outch192-inch192-facttucker-r0.1-wh4-ind2s
2024-06-25 12:27:49,dec-end-outch192-inch192-facttucker-r0.1-wh4-ind2s
2024-06-25 12:29:00,dec-start-outch192-inch192-facttucker-r0.25-wh4-ind1s
2024-06-25 12:33:40,dec-end-outch192-inch192-facttucker-r0.25-wh4-ind1s
2024-06-25 12:35:00,dec-start-outch192-inch192-facttucker-r0.25-wh4-ind2s
2024-06-25 12:39:40,dec-end-outch192-inch192-facttucker-r0.25-wh4-ind2s
2024-06-25 12:41:00,dec-start-outch192-inch192-facttucker-r0.5-wh4-ind1s
2024-06-25 12:46:46,dec-end-outch192-inch192-facttucker-r0.5-wh4-ind1s
2024-06-25 12:48:00,dec-start-outch192-inch192-facttucker-r0.5-wh4-ind2s
2024-06-25 12:53:48,dec-end-outch192-inch192-facttucker-r0.5-wh4-ind2s
2024-06-25 12:55:00,dec-start-outch192-inch192-facttucker-r0.75-wh4-ind1s
2024-06-25 13:04:14,dec-end-outch192-inch192-facttucker-r0.75-wh4-ind1s
2024-06-25 13:06:00,dec-start-outch192-inch192-facttucker-r0.75-wh4-ind2s
2024-06-25 13:15:14,dec-end-outch192-inch192-facttucker-r0.75-wh4-ind2s
2024-06-25 13:17:01,dec-start-outch192-inch192-facttucker-r0.9-wh4-ind1s
2024-06-25 13:27:17,dec-end-outch192-inch192-facttucker-r0.9-wh4-ind1s
2024-06-25 13:29:00,dec-start-outch192-inch192-facttucker-r0.9-wh4-ind2s
2024-06-25 13:39:16,dec-end-outch192-inch192-facttucker-r0.9-wh4-ind2s
2024-06-25 13:41:00,dec-start-outch192-inch192-facttt-r0.1-wh4-ind1s
2024-06-25 13:45:59,dec-end-outch192-inch192-facttt-r0.1-wh4-ind1s
2024-06-25 13:47:00,dec-start-outch192-inch192-facttt-r0.1-wh4-ind2s
