Datetime,Info
2024-05-31 17:15:00,bas-start-outch384-inch192-wh4-ind1s
2024-05-31 17:23:39,bas-end-outch384-inch192-wh4-ind1s
2024-05-31 17:25:00,bas-start-outch384-inch192-wh4-ind2s
2024-05-31 17:33:40,bas-end-outch384-inch192-wh4-ind2s
2024-05-31 17:35:01,bas-start-outch320-inch192-wh4-ind1s
2024-05-31 17:42:16,bas-end-outch320-inch192-wh4-ind1s
2024-05-31 17:44:00,bas-start-outch320-inch192-wh4-ind2s
2024-05-31 17:51:16,bas-end-outch320-inch192-wh4-ind2s
2024-05-31 17:53:00,bas-start-outch256-inch192-wh4-ind1s
2024-05-31 17:58:44,bas-end-outch256-inch192-wh4-ind1s
2024-05-31 18:00:00,bas-start-outch256-inch192-wh4-ind2s
2024-05-31 18:05:44,bas-end-outch256-inch192-wh4-ind2s
2024-05-31 18:07:00,bas-start-outch192-inch192-wh4-ind1s
2024-05-31 18:11:17,bas-end-outch192-inch192-wh4-ind1s
2024-05-31 18:13:00,bas-start-outch192-inch192-wh4-ind2s
2024-05-31 18:17:14,bas-end-outch192-inch192-wh4-ind2s
2024-05-31 18:19:00,dec-start-outch384-inch192-facttt-r0.1-wh4-ind1s
2024-05-31 18:22:03,dec-end-outch384-inch192-facttt-r0.1-wh4-ind1s
2024-05-31 18:24:00,dec-start-outch384-inch192-facttt-r0.1-wh4-ind2s
2024-05-31 18:27:05,dec-end-outch384-inch192-facttt-r0.1-wh4-ind2s
2024-05-31 18:29:00,dec-start-outch384-inch192-facttt-r0.25-wh4-ind1s
2024-05-31 18:33:29,dec-end-outch384-inch192-facttt-r0.25-wh4-ind1s
2024-05-31 18:35:00,dec-start-outch384-inch192-facttt-r0.25-wh4-ind2s
2024-05-31 18:39:29,dec-end-outch384-inch192-facttt-r0.25-wh4-ind2s
2024-05-31 18:41:00,dec-start-outch384-inch192-facttt-r0.5-wh4-ind1s
2024-05-31 18:46:27,dec-end-outch384-inch192-facttt-r0.5-wh4-ind1s
2024-05-31 18:48:00,dec-start-outch384-inch192-facttt-r0.5-wh4-ind2s
2024-05-31 18:53:18,dec-end-outch384-inch192-facttt-r0.5-wh4-ind2s
2024-05-31 18:55:00,dec-start-outch384-inch192-facttt-r0.75-wh4-ind1s
2024-05-31 19:00:44,dec-end-outch384-inch192-facttt-r0.75-wh4-ind1s
2024-05-31 19:02:00,dec-start-outch384-inch192-facttt-r0.75-wh4-ind2s
2024-05-31 19:07:47,dec-end-outch384-inch192-facttt-r0.75-wh4-ind2s
